Admissions;Time;PM10;SO2;NO2;CO;O3;Tmax;Tmaxm12;Tave;Tmin;RH;RHm01;RHm12;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;Carn;Tirad;Corpus;Indep;Penha
20;49;22,52428571;11,02089551;18,81599708;807,3647307;29,41979167;29,6;29,1975;25,35;22,4;87,695;90,7925;90,44;0;0;0;1;0;0;0;0;0;0;0
21;50;16,72428571;10,33283189;21,48059962;912,8442452;21,94166667;27,1;29,1475;24,07;23;94,02;90,8575;90,7925;0;0;0;0;1;0;0;0;0;0;0
19;51;21,67571429;9,852915302;16,11767523;652,62339;32,47489299;28,5;28,35;24,47;22,65564803;93,425;93,7225;90,8575;0;0;0;0;0;1;0;0;0;0;0
18;52;31,75285714;14,75817647;24,20097493;923,1641577;28,80104167;28,9;27,8;24,78;20,65;78,865;86,145;93,7225;0;0;0;0;0;0;0;0;0;0;0
23;53;33,46428571;15,3966084;28,52730605;843,7401568;25,95;29,35;28,7;24,94;20,6;79,555;79,21;86,145;1;0;0;0;0;0;0;0;0;0;0
21;54;35,97571429;14,42469776;24,02002551;785,3214327;32,23958333;32,9;29,125;26,86;22,55;81,475;80,515;79,21;0;1;0;0;0;0;0;0;0;0;0
20;55;42,67;16,32958077;23,00936691;997,0182794;25,69375;33,55;31,125;27,92;23,65;80,74;81,1075;80,515;0;0;1;0;0;0;0;0;0;0;0
21;56;46,87571429;14,93432087;22,68605822;944,430963;23,14681618;33,75;33,225;28,08;24,45;82,085;81,4125;81,1075;0;0;0;1;0;0;0;0;0;0;0
35;57;56,11714286;15,99054685;22,33469633;990,7364138;24,63958333;35;33,65;28,89;25,35;81,77;81,9275;81,4125;0;0;0;0;1;0;0;0;0;0;0
24;58;35,62428571;14,13617314;22,3243008;1137,56268;37,94895833;35,9;34,375;28,87;23,75;77,685;79,7275;81,9275;0;0;0;0;0;1;0;0;0;0;0
25;59;34,76142857;14,72391956;34,65091236;1415,245468;26,26166667;32,405;35,45;26,45;23,55;90,51;84,0975;79,7275;0;0;0;0;0;0;0;0;0;0;0
20;60;24,42142857;9,76619957;32,42357272;1165,61676;32,871875;29,65;34,1525;25,08;23;93,63;92,07;84,0975;1;0;0;0;0;0;0;0;0;0;0
35;61;23,86285714;10,33869491;28,3061359;887,2667393;24,01770833;27;31,0275;23,86;20,7;92,16;92,895;92,07;0;1;0;0;0;0;0;0;0;0;0
26;62;22,09;11,8221991;30,40725354;1211,184142;22,5475;25,51;28,325;22,75;20,8;93,84;93;92,895;0;0;1;0;0;0;0;0;0;0;0
30;63;17,64;10,89190936;25,47076438;929,0308861;20,41361069;24,35;26,255;22,59;21,05;93,715;93,7775;93;0;0;0;1;0;0;0;0;0;0;0
33;64;25,94571429;11,84807106;28,73367954;1275,228302;19,26913654;27,5;24,93;23,56;21,95;91,93;92,8225;93,7775;0;0;0;0;1;0;0;0;0;0;0
18;65;28,08857143;11,95130205;25,32222276;1079,184832;30,16594837;27,4;25,925;24,17;22,2;91,78;91,855;92,8225;0;0;0;0;0;1;0;0;0;0;0
27;66;27,38142857;13,29106488;32,23109926;1166,500781;22,98420846;27,55;27,45;23,85;22,05;93,785;92,7825;91,855;0;0;0;0;0;0;0;0;0;0;0
27;67;29,42428571;13,46628701;23,45298334;889,3895021;21,17784502;30,2;27,475;25,72;22,05;86,945;90,365;92,7825;1;0;0;0;0;0;0;0;0;0;0
37;68;36,02857143;18,65123322;25,06212524;891,6396178;20,59166667;30,25;28,875;26,47;22,65;83,27;85,1075;90,365;0;1;0;0;0;0;0;0;0;0;0
39;69;34,34857143;14,31647604;19,93867661;1061,892305;21,22395833;33,65;30,225;27,86;23,55;81,405;82,3375;85,1075;0;0;1;0;0;0;0;0;0;0;0
25;70;37,17571429;13,54633297;24,07745862;856,6956432;20,81979167;32;31,95;26,85;24,05;85,47;83,4375;82,3375;0;0;0;1;0;0;0;0;0;0;0
43;71;41,21714286;15,27452274;30,9609975;861,3160918;37,1875;31,4;32,825;26,66;22,6;82,71;84,09;83,4375;0;0;0;0;1;0;0;0;0;0;0
38;72;39,45;14,67658712;23,33981869;1018,472841;40,396875;30,9;31,7;26,51;22,5;85,49;84,1;84,09;0;0;0;0;0;1;0;0;0;0;0
50;73;37,01714286;14,43408374;16,44465138;899,8730012;24,96458333;32,1;31,15;27,28;23,95;82,405;83,9475;84,1;0;0;0;0;0;0;0;0;0;0;0
42;74;35,95;13,39264606;16,54415286;761,7077017;26,56041667;32,3;31,5;27,64;24,8;80,54;81,4725;83,9475;1;0;0;0;0;0;0;0;0;0;0
22;75;32,88428571;15,11803809;17,74020653;905,6355511;24,3078125;32,31;32,2;27,65;24,2;79,98;80,26;81,4725;0;1;0;0;0;0;0;0;0;0;0
46;76;34,45;13,59628724;19,55853695;752,097558;24,671875;32,25;32,305;27,17;23,45;79,835;79,9075;80,26;0;0;1;0;0;0;0;0;0;0;0
35;77;36,08714286;16,43863014;20,56988389;821,2331808;25,97395833;32,7;32,28;27,52;23,95;78,99;79,4125;79,9075;0;0;0;1;0;0;0;0;0;0;0
34;78;33,34428571;15,81931796;18,11384318;943,0283611;27,225;33,65;32,475;27,86;25,05;79,035;79,0125;79,4125;0;0;0;0;1;0;0;0;0;0;0
38;79;27,96;14,19518591;18,29123045;701,3730944;27,01354167;31,75;33,175;27,13;24,1;82,585;80,81;79,0125;0;0;0;0;0;1;0;0;0;0;0
28;80;29,19714286;12,65728305;19,8479256;688,2394876;25,07518078;31,8;32,7;27,05;23,15;81,655;82,12;80,81;0;0;0;0;0;0;0;0;0;0;0
32;81;29,42714286;14,66014152;21,77054998;864,2346289;18,33541667;30,65;31,775;26,48;22,6;84,005;82,83;82,12;1;0;0;0;0;0;0;0;0;0;0
26;82;27,76142857;12,82567537;19,12102956;732,7741394;19,42395833;32,25;31,225;27,16;23,2;82,27;83,1375;82,83;0;1;0;0;0;0;0;0;0;0;0
59;83;32,06;15,19934195;17,62984132;840,892497;18,75647486;31,75;31,45;27,17;23,2;79,365;80,8175;83,1375;0;0;1;0;0;0;0;0;0;0;0
35;84;21,49;10,99668325;13,17469834;528,0634845;35,83541667;31,75;32;26,51;23,7;81,575;80,47;80,8175;0;0;0;1;0;0;0;0;0;0;0
39;85;19,67285714;12,37395415;16,45909853;714,0304208;36,38333333;29,35;31,75;25,53;22,75;81,515;81,545;80,47;0;0;0;0;1;0;0;0;0;0;0
35;86;20,38857143;11,75666932;17,31235505;725,6518734;40,24270833;28,4;30,55;24,95;22;81,38;81,4475;81,545;0;0;0;0;0;1;0;0;0;0;0
33;87;27,32714286;13,47840385;26,45574376;983,7653118;24,875;29,15;28,875;24,64;21,2;85,055;83,2175;81,4475;0;0;0;0;0;0;0;0;0;0;0
31;88;23,13714286;13,40263447;23,07138651;972,4933634;20,77979167;29,8;28,775;25,01;21,7;85,275;85,165;83,2175;1;0;0;0;0;0;0;0;0;0;0
18;89;30,58428571;15,68266194;25,50212696;1031,79057;19,559375;28,8;29,475;24,75;21,4;89,695;87,485;85,165;0;1;0;0;0;0;0;0;0;0;0
22;90;23,29142857;17,85160116;24,21198556;1006,159598;18,01145833;29,4;29,3;24,86;21,9;89,015;89,355;87,485;0;0;1;0;0;0;0;0;0;0;0
24;91;26,72428571;14,50213813;23,91753628;1165,378679;16,75645833;28,86;29,1;24,65;22;90,97;89,9925;89,355;0;0;0;1;0;0;0;0;0;0;0
43;92;28,77857143;15,03888777;19,64313657;832,0307557;18,83645833;29,6;29,13;25,31;21,65;84,275;87,6225;89,9925;0;0;0;0;1;0;0;0;0;0;0
47;93;21,07857143;14,77606373;14,00413628;736,2802595;23,34375;31,35;29,23;26,12;21,65;82,66;83,4675;87,6225;0;0;0;0;0;1;0;0;0;0;0
64;94;28,20571429;16,45553631;14,88236878;838,7232889;23,01770833;32,75;30,475;27,22;23,2;81,04;81,85;83,4675;0;0;0;0;0;0;0;0;0;0;1
36;95;38,60714286;15,85382355;21,28410681;898,9792412;20,840625;32,8;32,05;27,08;23,25;81,39;81,215;81,85;1;0;0;0;0;0;0;0;0;0;0
26;96;35,51142857;14,89403289;22,80690217;1166,5675;21,94664635;30,9;32,775;26,17;22,2;82,215;81,8025;81,215;0;1;0;0;0;0;0;0;0;0;0
42;97;35,73142857;16,60668006;24,3303103;1161,1825;20,24375;30,35;31,85;26,3;22,4;81,98;82,0975;81,8025;0;0;1;0;0;0;0;0;0;0;0
23;98;35,16428571;16,41675464;22,10830503;1104,55;18,79270833;31,8;30,625;26,41;22,15;78,755;80,3675;82,0975;0;0;0;1;0;0;0;0;0;0;0
49;99;28,04428571;13,75232923;17,4896501;832,765;21,36875;31,3;31,075;26,28;21,8;82,435;80,595;80,3675;0;0;0;0;1;0;0;0;0;0;0
40;100;22,16;14,45343599;19,20990659;791,105;23,84895833;30,4;31,55;26,21;22,6;84,165;83,3;80,595;0;0;0;0;0;1;0;0;0;0;0
42;101;28,48857143;12,60450172;24,23602503;1137,175;24,66650964;30,5;30,85;26,25;22,9;82,59;83,3775;83,3;0;0;0;0;0;0;0;0;0;0;0
36;102;33,88142857;12,63942045;24,30604909;979,652082;19,50733592;30,53;30,45;26,51;23,2;81,3;81,945;83,3775;1;0;0;0;0;0;0;0;0;0;0
40;103;36,93571429;13,35661752;25,33657547;1167,6;18,38898702;29,6;30,515;25,82;22,9;83,885;82,5925;81,945;0;1;0;0;0;0;0;0;0;0;0
34;104;34,90714286;15,22557325;30,41100923;1459,191;20,68427083;29,985;30,065;25,34;21,8;86,21;85,0475;82,5925;0;0;1;0;0;0;0;0;0;0;0
31;105;34,37714286;12,87087007;25,19979235;1071,383;20,03083333;30,65;29,7925;25,33;21,4;83,845;85,0275;85,0475;0;0;0;1;0;0;0;0;0;0;0
63;106;23,84714286;8,94710435;19,02454137;690,1375;27,78333333;30,25;30,3175;25,34;21,5;82,68;83,2625;85,0275;0;0;0;0;1;0;0;0;0;0;0
53;107;26,92285714;10,27889332;23,09335688;667,585;38,72916667;30,95;30,45;25,85;21,3;81,215;81,9475;83,2625;0;0;0;0;0;1;0;0;0;0;0
56;108;39,54142857;10,5086159;29,04207715;838,82825;36,60739583;29,365;30,6;25,48;22,3;84,255;82,735;81,9475;0;0;0;0;0;0;0;0;0;0;0
25;109;25,19857143;10,4878639;28,36650491;1154,024626;23,735625;29,295;30,1575;25,36;22,1;86,475;85,365;82,735;1;0;0;0;0;0;0;0;0;0;0
47;110;26,89428571;11,77650109;23,10995408;1003,1575;20,71979167;30,7;29,33;25,83;21,5;81,745;84,11;85,365;0;1;0;0;0;0;0;0;0;0;0
74;111;26,53285714;9,771039621;19,03602584;629,7025;28,27395833;31,7;29,9975;26,44;23;79,595;80,67;84,11;0;0;1;0;0;0;0;1;0;0;0
66;112;32,84571429;9,226345908;29,69274333;806,7995;35,67160052;28,7;31,2;24,78;22,35;83,365;81,48;80,67;0;0;0;1;0;0;0;0;0;0;0
53;113;32,10142857;7,796314022;28,99529003;824,3175;39,215625;29,45;30,2;24,95;20,45;80,6;81,9825;81,48;0;0;0;0;1;0;0;0;0;0;0
77;114;24,62571429;9,335803145;28,5113947;742,0575;34,33125;30,1;29,075;24,79;22,05;84,825;82,7125;81,9825;0;0;0;0;0;1;0;0;0;0;0
49;115;35,86857143;12,69946256;29,7749254;1109,342497;26,36619563;30,8;29,775;25,38;21,25;84,67;84,7475;82,7125;0;0;0;0;0;0;0;0;0;0;0
38;116;30,59285714;8,562277758;23,48325703;884,537;35,4378125;28,48;30,45;23,43;20,885;88,965;86,8175;84,7475;1;0;0;0;0;0;0;0;0;0;0
39;117;26,66714286;8,682575557;23,64025553;786,65425;35,9209375;24,55;29,64;22,06;20,22;77,455;83,21;86,8175;0;1;0;0;0;0;0;0;0;0;0
44;118;34,76857143;10,53062084;29,12800633;1046,785;26,94166667;25,65;26,515;22,33;19,6;86,265;81,86;83,21;0;0;1;0;0;0;0;0;0;0;0
52;119;32,60857143;8,519803943;23,86217018;829,97;22,140625;29,2;25,1;25,07;21,4;79,38;82,8225;81,86;0;0;0;1;0;0;0;0;0;0;0
60;120;27,76714286;7,165244361;19,12904125;755,55;25,26458333;27,95;27,425;24,2;21,5;85,84;82,61;82,8225;0;0;0;0;1;0;0;0;0;0;0
62;121;20,52285714;5,959143792;12,46892015;466,23;46,40416667;26,15;28,575;22,69;20,2;67,94;76,89;82,61;0;0;0;0;0;1;0;0;0;0;0
47;122;31,67857143;8,101328005;24,44023053;689,14;38,27291667;26,4;27,05;22,5;20;62,445;65,1925;76,89;0;0;0;0;0;0;0;0;0;0;0
55;123;32,29285714;8,701700677;26,73851445;851,385;35,23958333;24,35;26,275;21,6;19,5;68,93;65,6875;65,1925;1;0;0;0;0;0;0;0;0;0;0
51;124;34,93714286;9,223916354;26,9942421;805,5002858;32,52904127;25,8;25,375;22,24;19,5;68,765;68,8475;65,6875;0;1;0;0;0;0;0;0;0;0;0
46;125;27,88285714;9,007617164;25,57190368;818,98125;31,6175;26,4;25,075;22,86;19,7;80,7;74,7325;68,8475;0;0;1;0;0;0;0;0;0;0;0
76;126;39,47714286;10,39902166;28,81599805;1238;26,2386483;26,1;26,1;22,83;19,85;83,6;82,15;74,7325;0;0;0;1;0;0;0;0;0;0;0
81;127;31,12571429;8,750382891;24,58177003;1008,565;25,46567351;26,25;26,25;22,63;20,7;86,295;84,9475;82,15;0;0;0;0;1;0;0;0;0;0;0
70;128;20,32428571;7,699017242;19,86197436;824,2925;28,31979167;26,95;26,175;23,32;20,05;86,54;86,4175;84,9475;0;0;0;0;0;1;0;0;0;0;0
86;129;27,74714286;10,06593162;22,08518812;1107,34625;23,28958333;28,335;26,6;23,91;20,75;85,06;85,8;86,4175;0;0;0;0;0;0;0;0;0;0;0
76;130;35,38428571;11,36599518;25,93064909;1304,0415;20,6484375;28,455;27,6425;24,34;21,45;88,815;86,9375;85,8;1;0;0;0;0;0;0;0;0;0;0
74;131;33,93428571;10,09670784;21,69571153;998,9085;18,94677083;28,6;28,395;24,08;20,55;85,365;87,09;86,9375;0;1;0;0;0;0;0;0;0;0;0
49;132;37,42285714;12,15351494;21,13607068;1220,9895;17,31416667;29,35;28,5275;24,02;20,2;85,065;85,215;87,09;0;0;1;0;0;0;0;0;0;0;0
73;133;34,50285714;13,70394489;23,80316071;1600,2125;19,0125;28,15;28,975;24,01;20,55;85,74;85,4025;85,215;0;0;0;1;0;0;0;0;0;0;0
76;134;26,96857143;11,75858034;20,20737112;1205,015;16,87916667;27,55;28,75;23,79;21,6;90,57;88,155;85,4025;0;0;0;0;1;0;0;0;0;0;0
76;135;24,38714286;9,461873132;18,05698922;1159,455;20,453125;27,85;27,85;23,91;20,7;87,865;89,2175;88,155;0;0;0;0;0;1;0;0;0;0;0
74;136;28,67714286;11,27341215;24,14109002;1598,630919;17,74131226;26,75;27,7;23,03;21;93,17;90,5175;89,2175;0;0;0;0;0;0;0;0;0;0;0
64;137;37,82857143;11,47363974;23,25593813;1139,10561;23,25338156;28,9;27,3;24,23;20,5;85,34;89,255;90,5175;1;0;0;0;0;0;0;0;0;0;0
